week_start,n_comments,mean_compound,median_compound,std_compound,aspect
2025-07-07,18,0.22097777777777777,0.5181,0.6320542424187002,Piastri
2025-07-21,118,0.05862033898305085,0.0,0.5195861564185141,Piastri
2025-07-28,148,-0.005152027027027026,0.0,0.5557731218051422,Piastri
2025-08-25,327,0.17031804281345567,0.1921,0.5219775529443319,Piastri
2025-09-01,652,0.02794877300613497,0.0,0.544446824759601,Piastri
2025-09-08,330,0.08912060606060607,0.046200000000000005,0.6032250089041505,Piastri
2025-09-15,153,0.2292483660130719,0.3331,0.5353377527201348,Piastri
2025-09-22,9,0.5509999999999999,0.6908,0.508245919806544,Piastri
2025-09-29,422,0.029280331753554503,0.0,0.5088685819519141,Piastri
2025-10-06,287,0.07108606271777004,0.0715,0.6257724604459879,Piastri
2025-10-13,804,0.09011766169154228,0.0,0.5164460645320237,Piastri
2025-10-20,247,0.11774534412955466,0.0516,0.5620690902767156,Piastri
2025-10-27,3,-0.12776666666666667,-0.599,0.8165465102082877,Piastri
2025-11-03,255,0.046578039215686276,0.0,0.5027481523712203,Piastri
2025-11-10,1,0.8481,0.8481,,Piastri
2025-11-17,344,0.11564505813953488,0.0,0.47832186313908753,Piastri
2025-11-24,996,0.15141214859437752,0.1779,0.537238752052134,Piastri
2025-12-01,605,0.27477999999999997,0.3818,0.5241383156070704,Piastri
2025-12-08,117,0.24790256410256412,0.163,0.48612439951489095,Piastri
2025-12-15,80,0.23989124999999997,0.3291,0.5338008428205093,Piastri
2025-12-29,48,0.38037291666666667,0.49015,0.426969413294658,Piastri
2024-02-26,10,0.12882000000000002,0.33755,0.4145909679029039,McLaren
2024-03-04,21,-0.1379047619047619,0.0,0.35341715503946675,McLaren
2024-03-11,12,0.2569666666666667,0.26115,0.5958876363472523,McLaren
2024-03-18,3,0.21623333333333336,0.4404,0.6749708314685409,McLaren
2024-03-25,2,0.68125,0.68125,0.18575695141770598,McLaren
2024-04-15,21,0.5990380952380953,0.7184,0.42093354757751306,McLaren
2024-04-22,1,-0.6129,-0.6129,,McLaren
2024-04-29,77,0.157025974025974,0.0258,0.49732759017377265,McLaren
2024-05-06,7,0.04820000000000002,0.3514,0.6013425923160053,McLaren
2024-05-13,59,0.2800440677966102,0.4215,0.5333177261164908,McLaren
2024-05-20,60,0.24714500000000003,0.3865,0.5897752592430902,McLaren
2024-06-03,39,0.3170153846153846,0.4767,0.5594866756978228,McLaren
2024-06-10,10,0.60765,0.86345,0.5329525958698809,McLaren
2024-06-17,70,0.23280857142857145,0.35660000000000003,0.5400999002446737,McLaren
2024-06-24,20,0.292105,0.5789,0.5909112013394406,McLaren
2024-07-01,62,0.01216129032258065,0.0,0.544370190567628,McLaren
2024-07-15,382,-0.005191623036649212,0.0,0.5428031210518283,McLaren
2024-07-22,94,0.15976702127659576,0.3397,0.5538138743254206,McLaren
2024-07-29,23,0.42779999999999996,0.7777,0.5682016231457409,McLaren
2024-08-05,4,0.246475,0.0,0.49295,McLaren
2024-08-19,91,0.18076593406593405,0.25,0.5250528196116782,McLaren
2024-08-26,410,0.25059,0.296,0.5005596221995219,McLaren
2024-09-02,239,0.32611129707112974,0.4528,0.5564032428494217,McLaren
2024-09-09,89,0.42016966292134833,0.4854,0.4727181731521374,McLaren
2024-09-16,80,0.1274025,0.13365,0.6005283629248624,McLaren
2024-09-23,13,0.3031615384615385,0.4404,0.6231531627383184,McLaren
2024-10-14,68,-0.10464264705882353,-0.23615,0.5289947073392025,McLaren
2024-10-21,116,-0.0388448275862069,0.0,0.5401959712588736,McLaren
2024-10-28,333,0.12545555555555554,0.1007,0.5140363247859675,McLaren
2024-11-04,120,0.3808416666666667,0.6154,0.6004908337706557,McLaren
